This quiz consists of {0} questions.,Ce quiz se compose de {0} question(s),
All Courses,Tous les cours,
instructor,formateur,
Instructors,Formateurs,
You will have to get {0}% correct answers in order to pass the quiz.,Vous devrez obtenir {0}% de bonnes réponses pour réussir le quiz.,
You can attempt this quiz only {0} {1},Vous ne pouvez tenter ce quiz que  {0} fois.,
The quiz has a time limit. For each question you will be given {0} seconds,Le quiz est soumis à une limite de temps. Pour chaque question, vous disposerez de {0},
You have already exceeded the maximum number of attempts allowed for this quiz.,Vous avez déjà dépassé le nombre maximum de tentatives autorisées pour ce quiz.,
Choose all answers that apply,Cochez toutes les réponses appropriées.,
Enter the correct answer,Entrez la réponse correcte,
Marks,Points,
Next Question,Question suivante,
Try Again,Réessayer,
All Submissions,Toutes les soumissions,
Your score is,Votre score est,
out of,sur,
You got,Vous avez obtenu,
correct answers,réponses correctes,
Please enter your answer,Veuillez saisir votre réponse,
All Batches,Tous les groupes,
This lesson is not available for preview. As you are the Instructor of the course only you can see it.,Cette leçon n'est pas disponible en prévisualisation. Comme vous êtes l'instructeur du cours, vous seul pouvez la voir.,
Instructor Notes,Notes du formateur,
There is no preview available for this lesson.,Aucun aperçu n'est disponible pour cette leçon.,
Previous Lesson,Séquence précédente,
Next Lesson,Séquence suivante,
End,Terminer,
Start Learning,Commencer,
Have a doubt?,Avez-vous un doute ?,
Post it here our mentors will help you out.,Publiez-le ici Nous vous aideront.,
Ask a Question,Poser une question,
COMPLETED,TERMINÉ,
New Course,Nouveau cours,
Enrolled,Inscrit,
Lessons,Séquences,
lessons,séquences,
Other Courses,Autres cours,
Submit for Review,Soumettre pour examen,
Continue Learning,Continuer,
Get Certificate,Obtenir un certificat,
This course is currently under review. Once the review is complete, the System Admins will publish it on the website.,Ce cours est actuellement en cours de révision. Une fois la révision terminée, les administrateurs système le publieront sur le site web.,
You have exceeded the maximum number of attempts allowed to appear for evaluations of this course.,Vous avez dépassé le nombre maximum de tentatives autorisées pour passer les évaluations de ce cours,
Course Content,Contenu du cours,
chapters,chapitres,
Review the course,Évaluer le cours,
Help us improve our course material.,Aidez-nous à améliorer notre cours,
Write a Review,Écrire un avis,
